OBJECTID_1,COD_CUENC,NOMBRE,CA,RuleID,Shape__Area,Shape__Length
1,2123-05,Q. Seca - Q. Dona Ines,0,1,55257328.7247314,48763.5832207103
2,2123-09,R. Magdalena (Sector Pto. Salg,0.528639489420821,3,146997606.531982,113640.040570107
3,2123-08,Rio Seco Norte,0.393635899468705,2,227371292.699097,75932.2520877141
4,2123-03,R. Magdalena (Sector Beltran),0.454278677095854,3,233469354.8927,98609.3604412882
5,2123-10,Rio Negrito,1,5,269197449.043213,86218.4035886915
6,2123-02,Rio Seco,0.212653280934383,2,616470907.609436,135526.266241212
7,2123-04,Rio Seco de las Palmas,0.413593902659811,3,109196597.128845,51724.5897845928
8,2123-01,R. Magdalena (Sector Ricaurte),0.438199142725181,3,136966725.580322,84241.6375009925
9,2123-06,Rio Chaguani,0.301907694989111,2,165755287.924988,64205.0768095402
10,2123-07,R. Magdalena (Sector Guaduas),0.316720555373333,2,186407827.241943,62376.8936619529
